week,value
2020-07-19,117.43749472155267
2020-07-26,117.43749472155267
2020-08-02,117.43749472155267
2020-08-09,117.43749472155267
2020-08-16,117.43749472155267
2020-08-23,117.43749472155267
2020-08-30,117.43749472155267
2020-09-06,117.43749472155267
2020-09-13,117.43749472155267
2020-09-20,117.43749472155267
2020-09-27,117.43749472155267
2020-10-04,117.43749472155267
2020-10-11,117.43749472155267
2020-10-18,117.43749472155267
2020-10-25,117.43749472155267
2020-11-01,117.43749472155267
2020-11-08,117.43749472155267
2020-11-15,117.43749472155267
2020-11-22,117.43749472155267
2020-11-29,117.43749472155267
2020-12-06,117.43749472155267
2020-12-13,117.43749472155267
2020-12-20,117.43749472155267
2020-12-27,117.43749472155267
2021-01-03,117.43749472155267
2021-01-10,117.43749472155267
2021-01-17,117.43749472155267
2021-01-24,117.43749472155267
2021-01-31,117.43749472155267
2021-02-07,117.43749472155267
