week,value
2020-07-19,123.53749553270305
2020-07-26,123.53749553270305
2020-08-02,123.53749553270305
2020-08-09,123.53749553270305
2020-08-16,123.53749553270305
2020-08-23,123.53749553270305
2020-08-30,123.53749553270305
2020-09-06,123.53749553270305
2020-09-13,123.53749553270305
2020-09-20,123.53749553270305
2020-09-27,123.53749553270305
2020-10-04,123.53749553270305
2020-10-11,123.53749553270305
2020-10-18,123.53749553270305
2020-10-25,123.53749553270305
2020-11-01,123.53749553270305
2020-11-08,123.53749553270305
2020-11-15,123.53749553270305
2020-11-22,123.53749553270305
2020-11-29,123.53749553270305
2020-12-06,123.53749553270305
2020-12-13,123.53749553270305
2020-12-20,123.53749553270305
2020-12-27,123.53749553270305
2021-01-03,123.53749553270305
2021-01-10,123.53749553270305
2021-01-17,123.53749553270305
2021-01-24,123.53749553270305
2021-01-31,123.53749553270305
2021-02-07,123.53749553270305
