week,value
2020-07-19,100.81832283670266
2020-07-26,100.81832283670266
2020-08-02,100.81832283670266
2020-08-09,100.81832283670266
2020-08-16,100.81832283670266
2020-08-23,100.81832283670266
2020-08-30,100.81832283670266
2020-09-06,100.81832283670266
2020-09-13,100.81832283670266
2020-09-20,100.81832283670266
2020-09-27,100.81832283670266
2020-10-04,100.81832283670266
2020-10-11,100.81832283670266
2020-10-18,100.81832283670266
2020-10-25,100.81832283670266
2020-11-01,100.81832283670266
2020-11-08,100.81832283670266
2020-11-15,100.81832283670266
2020-11-22,100.81832283670266
2020-11-29,100.81832283670266
2020-12-06,100.81832283670266
2020-12-13,100.81832283670266
2020-12-20,100.81832283670266
2020-12-27,100.81832283670266
2021-01-03,100.81832283670266
2021-01-10,100.81832283670266
2021-01-17,100.81832283670266
2021-01-24,100.81832283670266
2021-01-31,100.81832283670266
2021-02-07,100.81832283670266
